year,month,route_id,ridership
2020,1,120,379
2020,1,123,917
2020,1,124,1811
2020,1,125,2206
2020,1,126,628
2020,1,127,297
2020,1,128,385
2020,1,129,902
2020,1,130,496
2020,1,131,655
2020,1,132,339
2020,1,133,71
2020,1,139,381
2020,1,150,39
2020,1,201,153
2020,1,204,197
2020,1,206,153
2020,1,310,392
2020,1,311,215
2020,1,47M,1039
2020,1,BLVDDIR,3076
2020,1,B1 OWL,1858
2020,1,63,16541
2020,1,71,5051
2020,1,41,2944
2020,1,K,9250
2020,1,51,7471
2020,1,LUCYGO,1569
2020,1,LUCYGR,1080
2020,1,L1 OWL,1958
2020,1,82,10094
2020,1,81,5987
2020,2,1,2712
2020,2,2,6200
2020,2,3,9226
2020,2,4,7305
2020,2,5,3823
2020,2,6,5911
2020,2,7,5504
2020,2,8,3177
2020,2,9,4642
2020,2,T1,10422
2020,2,T4,13120
2020,2,12,2623
2020,2,T3,11896
2020,2,14,5905
2020,2,G1,10194
2020,2,16,7456
2020,2,17,9765
2020,2,18,14717
2020,2,19,1468
2020,2,20,4863
2020,2,21,10462
2020,2,22,4341
2020,2,23,16783
2020,2,24,2396
2020,2,25,4442
2020,2,26,12026
2020,2,27,3463
2020,2,28,1979
2020,2,29,4473
2020,2,30,1433
2020,2,31,4865
2020,2,32,5076
2020,2,33,11648
2020,2,T2,13399
2020,2,35,143
2020,2,T5,14630
2020,2,37,3391
2020,2,38,2797
2020,2,39,2776
2020,2,40,7810
2020,2,42,9713
2020,2,43,3780
2020,2,44,3593
2020,2,45,6155
2020,2,46,6076
2020,2,47,17537
2020,2,48,7468
2020,2,49,3129
2020,2,50,2014
2020,2,52,14571
2020,2,53,3184
2020,2,54,6947
2020,2,55,4713
2020,2,56,12681
2020,2,57,10716
2020,2,58,8413
2020,2,59,4670
2020,2,60,11141
2020,2,61,4604
2020,2,62,240
2020,2,64,6034
2020,2,65,8383
2020,2,66,10527
2020,2,67,5362
2020,2,68,2138
2020,2,70,9230
2020,2,73,2554
2020,2,75,3029
2020,2,77,807
2020,2,78,64
