city,date,route_id,mode,level,ridership
Philadelphia,2024-08-01,,Regional Rail,MODE,74066
Philadelphia,2024-08-01,,Heavy Rail,MODE,205179
Philadelphia,2024-08-01,,Trolley,MODE,47908
Philadelphia,2024-08-01,,Trackless Trolley,MODE,11075
Philadelphia,2024-09-01,,Bus,MODE,401877
Philadelphia,2024-09-01,,CCT,MODE,3139
Philadelphia,2024-09-01,,Regional Rail,MODE,84360
Philadelphia,2024-09-01,,Heavy Rail,MODE,230261
Philadelphia,2024-09-01,,Trolley,MODE,61949
Philadelphia,2024-09-01,,Trackless Trolley,MODE,13804
Philadelphia,2024-10-01,,Bus,MODE,405318
Philadelphia,2024-10-01,,CCT,MODE,3236
Philadelphia,2024-10-01,,Regional Rail,MODE,87030
Philadelphia,2024-10-01,,Heavy Rail,MODE,230653
Philadelphia,2024-10-01,,Trolley,MODE,61634
Philadelphia,2024-10-01,,Trackless Trolley,MODE,13741
Philadelphia,2024-11-01,,Bus,MODE,382848
Philadelphia,2024-11-01,,CCT,MODE,3145
Philadelphia,2024-11-01,,Regional Rail,MODE,86498
Philadelphia,2024-11-01,,Heavy Rail,MODE,222197
Philadelphia,2024-11-01,,Trolley,MODE,57629
Philadelphia,2024-11-01,,Trackless Trolley,MODE,12902
Philadelphia,2024-12-01,,Bus,MODE,350305
Philadelphia,2024-12-01,,CCT,MODE,3100
Philadelphia,2024-12-01,,Regional Rail,MODE,80600
Philadelphia,2024-12-01,,Heavy Rail,MODE,204500
Philadelphia,2024-12-01,,Trolley,MODE,52008
Philadelphia,2024-12-01,,Trackless Trolley,MODE,11359
Philadelphia,2025-01-01,,Bus,MODE,354820
Philadelphia,2025-01-01,,CCT,MODE,2831
Philadelphia,2025-01-01,,Regional Rail,MODE,76737
Philadelphia,2025-01-01,,Heavy Rail,MODE,205867
Philadelphia,2025-01-01,,Trolley,MODE,53668
Philadelphia,2025-01-01,,Trackless Trolley,MODE,11926
Philadelphia,2025-02-01,,Bus,MODE,375744
Philadelphia,2025-02-01,,CCT,MODE,2300
Philadelphia,2025-02-01,,Regional Rail,MODE,88400
Philadelphia,2025-02-01,,Heavy Rail,MODE,217100
Philadelphia,2025-02-01,,Trolley,MODE,58386
Philadelphia,2025-02-01,,Trackless Trolley,MODE,12007
Philadelphia,2025-03-01,,Bus,MODE,382227
Philadelphia,2025-03-01,,CCT,MODE,3200
Philadelphia,2025-03-01,,Regional Rail,MODE,84800
Philadelphia,2025-03-01,,Heavy Rail,MODE,204400
Philadelphia,2025-03-01,,Trolley,MODE,59188
Philadelphia,2025-03-01,,Trackless Trolley,MODE,12691
Philadelphia,2025-04-01,,Bus,MODE,377072
Philadelphia,2025-04-01,,CCT,MODE,3100
Philadelphia,2025-04-01,,Regional Rail,MODE,84300
Philadelphia,2025-04-01,,Heavy Rail,MODE,214900
Philadelphia,2025-04-01,,Trolley,MODE,58964
Philadelphia,2025-04-01,,Trackless Trolley,MODE,12342
Philadelphia,2025-05-01,,Bus,MODE,387744
Philadelphia,2025-05-01,,CCT,MODE,3228
Philadelphia,2025-05-01,,Regional Rail,MODE,84666
Philadelphia,2025-05-01,,Heavy Rail,MODE,220334
Philadelphia,2025-05-01,,Trolley,MODE,59762
Philadelphia,2025-05-01,,Trackless Trolley,MODE,12557
Philadelphia,2025-06-01,,Bus,MODE,345285
Philadelphia,2025-06-01,,CCT,MODE,3185
Philadelphia,2025-06-01,,Regional Rail,MODE,80214
Philadelphia,2025-06-01,,Heavy Rail,MODE,215302
Philadelphia,2025-06-01,,Trolley,MODE,52876
Philadelphia,2025-06-01,,Trackless Trolley,MODE,11018
Philadelphia,2025-07-01,,Bus,MODE,334079
Philadelphia,2025-07-01,,CCT,MODE,3137
Philadelphia,2025-07-01,,Regional Rail,MODE,81331
Philadelphia,2025-07-01,,Heavy Rail,MODE,199095
Philadelphia,2025-07-01,,Trolley,MODE,41973
Philadelphia,2025-07-01,,Trackless Trolley,MODE,10142
Philadelphia,2025-08-01,,Bus,MODE,331653
Philadelphia,2025-08-01,,CCT,MODE,3133
Philadelphia,2025-08-01,,Regional Rail,MODE,75494
Philadelphia,2025-08-01,,Heavy Rail,MODE,197618
Philadelphia,2025-08-01,,Trolley,MODE,43687
Philadelphia,2025-08-01,,Trackless Trolley,MODE,10510
Philadelphia,2025-09-01,,Bus,MODE,377001
Philadelphia,2025-09-01,,CCT,MODE,3156
Philadelphia,2025-09-01,,Regional Rail,MODE,90523
Philadelphia,2025-09-01,,Heavy Rail,MODE,223428
Philadelphia,2025-09-01,,Trolley,MODE,54951
Philadelphia,2025-09-01,,Trackless Trolley,MODE,12830
Philadelphia,2025-10-01,,Bus,MODE,392615
Philadelphia,2025-10-01,,CCT,MODE,3154
Philadelphia,2025-10-01,,Regional Rail,MODE,80635
Philadelphia,2025-10-01,,Heavy Rail,MODE,228969
Philadelphia,2025-10-01,,Trolley,MODE,61570
Philadelphia,2025-10-01,,Trackless Trolley,MODE,12758
Philadelphia,2019-08-01,59,,ROUTE,3811
Philadelphia,2019-08-01,60,,ROUTE,8550
