year,month,route_id,ridership,city
2020,1,126,628,Philadelphia
2020,1,127,297,Philadelphia
2020,1,128,385,Philadelphia
2020,1,129,902,Philadelphia
2020,1,130,496,Philadelphia
2020,1,131,655,Philadelphia
2020,1,132,339,Philadelphia
2020,1,133,71,Philadelphia
2020,1,139,381,Philadelphia
2020,1,150,39,Philadelphia
2020,1,201,153,Philadelphia
2020,1,204,197,Philadelphia
2020,1,206,153,Philadelphia
2020,1,310,392,Philadelphia
2020,1,311,215,Philadelphia
2020,1,47M,1039,Philadelphia
2020,1,BLVDDIR,3076,Philadelphia
2020,1,B1 OWL,1858,Philadelphia
2020,1,63,16541,Philadelphia
2020,1,71,5051,Philadelphia
2020,1,41,2944,Philadelphia
2020,1,K,9250,Philadelphia
2020,1,51,7471,Philadelphia
2020,1,LUCYGO,1569,Philadelphia
2020,1,LUCYGR,1080,Philadelphia
2020,1,L1 OWL,1958,Philadelphia
2020,1,82,10094,Philadelphia
2020,1,81,5987,Philadelphia
2020,2,1,2712,Philadelphia
2020,2,2,6200,Philadelphia
2020,2,3,9226,Philadelphia
2020,2,4,7305,Philadelphia
2020,2,5,3823,Philadelphia
2020,2,6,5911,Philadelphia
2020,2,7,5504,Philadelphia
2020,2,8,3177,Philadelphia
2020,2,9,4642,Philadelphia
2020,2,T1,10422,Philadelphia
2020,2,T4,13120,Philadelphia
2020,2,12,2623,Philadelphia
2020,2,T3,11896,Philadelphia
2020,2,14,5905,Philadelphia
2020,2,G1,10194,Philadelphia
2020,2,16,7456,Philadelphia
2020,2,17,9765,Philadelphia
2020,2,18,14717,Philadelphia
2020,2,19,1468,Philadelphia
2020,2,20,4863,Philadelphia
2020,2,21,10462,Philadelphia
2020,2,22,4341,Philadelphia
2020,2,23,16783,Philadelphia
2020,2,24,2396,Philadelphia
2020,2,25,4442,Philadelphia
2020,2,26,12026,Philadelphia
2020,2,27,3463,Philadelphia
2020,2,28,1979,Philadelphia
2020,2,29,4473,Philadelphia
2020,2,30,1433,Philadelphia
2020,2,31,4865,Philadelphia
2020,2,32,5076,Philadelphia
2020,2,33,11648,Philadelphia
2020,2,T2,13399,Philadelphia
2020,2,35,143,Philadelphia
2020,2,T5,14630,Philadelphia
2020,2,37,3391,Philadelphia
2020,2,38,2797,Philadelphia
2020,2,39,2776,Philadelphia
2020,2,40,7810,Philadelphia
2020,2,42,9713,Philadelphia
2020,2,43,3780,Philadelphia
2020,2,44,3593,Philadelphia
2020,2,45,6155,Philadelphia
2020,2,46,6076,Philadelphia
2020,2,47,17537,Philadelphia
2020,2,48,7468,Philadelphia
2020,2,49,3129,Philadelphia
2020,2,50,2014,Philadelphia
2020,2,52,14571,Philadelphia
2020,2,53,3184,Philadelphia
2020,2,54,6947,Philadelphia
2020,2,55,4713,Philadelphia
2020,2,56,12681,Philadelphia
2020,2,57,10716,Philadelphia
2020,2,58,8413,Philadelphia
2020,2,59,4670,Philadelphia
2020,2,60,11141,Philadelphia
2020,2,61,4604,Philadelphia
2020,2,62,240,Philadelphia
2020,2,64,6034,Philadelphia
2020,2,65,8383,Philadelphia
2020,2,66,10527,Philadelphia
2020,2,67,5362,Philadelphia
2020,2,68,2138,Philadelphia
2020,2,70,9230,Philadelphia
2020,2,73,2554,Philadelphia
2020,2,75,3029,Philadelphia
2020,2,77,807,Philadelphia
2020,2,78,64,Philadelphia
