year,month,route,ridership
2019,7,51,31382
2019,7,52,292941
2019,7,52A,97684
2019,7,53,461294
2019,7,53A,164405
2019,7,54,267285
2019,7,54A,16330
2019,7,54B,76703
2019,7,55,249866
2019,7,55A,6172
2019,7,55N,11067
2019,7,56,210036
2019,7,57,54894
2019,7,59,71294
2019,7,6,263425
2019,7,60,245663
2019,7,62,256155
2019,7,62H,21123
2019,7,63,385686
2019,7,63W,37691
2019,7,65,227117
2019,7,66,570164
2019,7,67,240223
2019,7,68,19247
2019,7,7,82851
2019,7,70,213710
2019,7,71,232231
2019,7,72,395168
2019,7,73,130554
2019,7,74,298056
2019,7,75,176601
2019,7,76,290971
2019,7,77,500579
2019,7,78,197961
2019,7,79,630286
2019,7,8,484725
2019,7,80,269032
2019,7,81,299126
2019,7,81W,37401
2019,7,82,398421
2019,7,84,81110
2019,7,85,228421
2019,7,85A,14177
2019,7,86,35788
2019,7,87,290427
2019,7,88,27265
2019,7,8A,70515
2019,7,9,486156
2019,7,90,113337
2019,7,91,149787
2019,7,92,146515
2019,7,93,75596
2019,7,94,198776
2019,7,95,140921
2019,7,96,16909
2019,7,97,77430
2019,7,J14,268888
2019,7,X49,114227
2019,7,X9,152999
2019,7,X98,61
2019,8,1,36159
2019,8,10,17032
2019,8,100,9900
2019,8,1001,41931
2019,8,103,48129
2019,8,106,24892
2019,8,108,17286
2019,8,11,36194
2019,8,111,70232
2019,8,111A,6668
2019,8,112,40117
2019,8,115,68523
2019,8,119,105271
2019,8,12,307509
2019,8,120,14755
2019,8,121,23648
2019,8,124,50519
2019,8,125,23757
2019,8,126,123354
2019,8,128,410
2019,8,130,20257
2019,8,134,61284
2019,8,135,72630
2019,8,136,42767
2019,8,143,36184
2019,8,146,359627
2019,8,147,328441
2019,8,148,50228
2019,8,15,181278
2019,8,151,441897
2019,8,152,206255
2019,8,155,168496
2019,8,156,141399
2019,8,157,102541
2019,8,165,3897
2019,8,169,1492
2019,8,171,4883
2019,8,172,10919
2019,8,18,96142
2019,8,19,909
2019,8,192,17250
2019,8,2,72100
2019,8,20,397630
2019,8,201,36575
2019,8,206,6450
2019,8,21,246835
2019,8,22,461191
2019,8,24,53399
2019,8,26,89901
2019,8,28,144266
2019,8,29,313256
2019,8,3,420711
2019,8,30,71095
2019,8,31,9766
2019,8,34,119764
2019,8,35,124444
2019,8,36,337702
2019,8,37,29043
2019,8,39,45605
2019,8,4,510203
2019,8,43,33707
2019,8,44,70088
2019,8,47,251057
2019,8,48,13687
2019,8,49,447425
2019,8,49B,142743
2019,8,5,13625
2019,8,50,226941
2019,8,51,32037
2019,8,52,305081
2019,8,52A,100140
2019,8,53,465121
2019,8,53A,166251
2019,8,54,269371
2019,8,54A,16674
2019,8,54B,82386
2019,8,55,244218
2019,8,55A,5984
2019,8,55N,11186
2019,8,56,213965
2019,8,57,52157
2019,8,59,73489
2019,8,6,259993
2019,8,60,259368
2019,8,62,258928
2019,8,62H,21549
2019,8,63,387979
2019,8,63W,36898
2019,8,65,222119
2019,8,66,556550
2019,8,67,236685
2019,8,68,22549
2019,8,7,91898
2019,8,70,211551
2019,8,71,228241
2019,8,72,396683
2019,8,73,132686
2019,8,74,297926
2019,8,75,176404
2019,8,76,294111
2019,8,77,482767
2019,8,78,196561
2019,8,79,626710
2019,8,8,507095
2019,8,80,270795
2019,8,81,296485
2019,8,81W,39655
2019,8,82,398646
2019,8,84,78356
2019,8,85,232834
2019,8,85A,11485
2019,8,86,36698
2019,8,87,289690
2019,8,88,29027
2019,8,8A,67468
2019,8,9,493088
2019,8,90,116099
2019,8,91,153059
2019,8,92,141598
2019,8,93,77566
2019,8,94,206261
2019,8,95,139073
2019,8,96,15612
2019,8,97,76821
2019,8,J14,266689
2019,8,X49,113441
2019,8,X9,153683
2019,8,X98,31
2019,9,1,36323
2019,9,10,1119
2019,9,100,11564
2019,9,1001,68715
2019,9,103,54406
2019,9,106,33308
2019,9,108,21601
2019,9,11,37876
2019,9,111,83066
2019,9,111A,6355
2019,9,112,48056
2019,9,115,75901
2019,9,119,109713
2019,9,12,330397
2019,9,120,14910
2019,9,121,22384
2019,9,124,33774
2019,9,125,22647
2019,9,126,136935
2019,9,128,1701
2019,9,130,1088
2019,9,134,59966
2019,9,135,70157
2019,9,136,39953
2019,9,143,36944
2019,9,146,354228
2019,9,147,313528
2019,9,148,49809
2019,9,15,194546
2019,9,151,401130
2019,9,152,257862
2019,9,155,179260
2019,9,156,129619
2019,9,157,133888
2019,9,165,3849
2019,9,169,1893
2019,9,171,16439
2019,9,172,31135
2019,9,18,105928
2019,9,19,1260
2019,9,192,15772
2019,9,2,72013
2019,9,20,409799
2019,9,201,46369
2019,9,206,12337
2019,9,21,243647
2019,9,22,445541
2019,9,24,61706
2019,9,26,91505
2019,9,28,150621
2019,9,29,317026
2019,9,3,428827
2019,9,30,78690
2019,9,31,14981
2019,9,34,128998
2019,9,35,129898
2019,9,36,333072
2019,9,37,29832
2019,9,39,47425
2019,9,4,515250
2019,9,43,35838
2019,9,44,78496
2019,9,47,260025
2019,9,48,20753
2019,9,49,463870
2019,9,49B,143716
2019,9,5,12831
2019,9,50,261679
2019,9,51,36854
2019,9,52,327876
2019,9,52A,106417
2019,9,53,483088
2019,9,53A,199527
2019,9,54,273841
2019,9,54A,15138
2019,9,54B,76637
2019,9,55,249295
2019,9,55A,6280
2019,9,55N,11973
2019,9,56,216637
2019,9,57,59124
2019,9,59,77623
2019,9,6,267357
2019,9,60,301809
2019,9,62,277958
2019,9,62H,22915
2019,9,63,411841
2019,9,63W,38759
2019,9,65,212643
2019,9,66,555701
2019,9,67,258178
2019,9,68,28852
2019,9,7,120066
2019,9,70,219879
2019,9,71,237864
2019,9,72,381505
2019,9,73,144134
2019,9,74,315683
2019,9,75,187043
2019,9,76,293494
2019,9,77,479919
2019,9,78,205239
2019,9,79,655319
2019,9,8,581148
2019,9,80,284655
2019,9,81,294877
2019,9,81W,41114
2019,9,82,448759
2019,9,84,91911
2019,9,85,250246
2019,9,85A,11947
2019,9,86,60865
2019,9,87,298860
2019,9,88,30946
2019,9,8A,75228
2019,9,9,511538
2019,9,90,115105
2019,9,91,162263
2019,9,92,161859
2019,9,93,81524
2019,9,94,224712
2019,9,95,152598
2019,9,96,17058
2019,9,97,75651
2019,9,J14,273309
2019,9,X49,148157
2019,9,X9,179332
2019,9,X98,134
2019,10,1,42528
2019,10,100,12078
2019,10,1001,113474
2019,10,103,54381
2019,10,106,34087
2019,10,108,22312
2019,10,11,40312
2019,10,111,82102
2019,10,111A,7056
2019,10,112,43966
2019,10,115,78357
2019,10,119,113218
2019,10,12,351853
2019,10,120,17584
2019,10,121,26054
2019,10,124,32685
2019,10,125,28292
2019,10,126,139423
2019,10,128,1560
2019,10,134,70244
2019,10,135,80156
2019,10,136,45242
2019,10,143,42165
2019,10,146,369680
2019,10,147,326515
2019,10,148,56794
2019,10,15,194343
2019,10,151,426327
2019,10,152,237617
2019,10,155,180229
2019,10,156,149645
2019,10,157,152473
2019,10,165,4360
2019,10,169,3166
2019,10,171,31757
2019,10,172,63162
2019,10,18,112573
2019,10,19,4035
2019,10,192,18919
2019,10,2,86947
2019,10,20,438858
2019,10,201,63101
2019,10,206,15247
2019,10,21,253645
2019,10,22,467726
2019,10,24,62973
2019,10,26,99990
2019,10,28,156068
2019,10,29,314576
2019,10,3,453193
2019,10,30,78289
2019,10,31,18627
2019,10,34,131152
2019,10,35,130393
2019,10,36,350356
2019,10,37,34241
2019,10,39,51439
2019,10,4,534412
2019,10,43,36510
