ridership,daytype,date,route,month_beginning,avg_weekday_rides,monthtotal,avg_sunday_holiday_rides,avg_saturday_rides,routename
3548,W,2001-01-03,51,2001-01-01,4654.8,127952.0,2169.4,3675.0,51st
1831,W,2001-01-04,81W,2001-01-01,1577.3,39738.0,337.6,837.2,West Lawrence
19299,W,2001-01-03,53,2001-01-01,21726.0,589242.0,9466.2,15984.4,Pulaski
8946,W,2001-01-04,14,2001-01-01,8484.3,186655.0,0.0,0.0,Jeffery Express
601,W,2001-01-02,100,2001-01-01,1167.0,25673.0,0.0,0.0,Jeffery Manor Express
3500,W,2001-01-02,73,2001-01-01,4994.3,127491.0,1372.4,2688.6,Armitage
843,U,2001-01-01,84,2001-01-01,4357.5,111265.0,1145.6,2418.1,Peterson
775,W,2001-01-04,55N,2001-01-01,1071.8,24237.0,0.0,164.4,55th/Narragansett
1803,W,2001-01-03,93,2001-01-01,2228.0,53246.0,0.0,1057.5,California/Dodge
3966,U,2001-01-01,80,2001-01-01,11837.8,319117.0,5275.2,8077.1,Irving Park
8399,W,2001-01-04,78,2001-01-01,8891.8,235297.0,3274.2,5826.3,Montrose
2245,W,2001-01-04,136,2001-01-01,2055.4,45218.0,0.0,0.0,Sheridan/LaSalle Express
631,W,2001-01-05,2,2001-01-01,1000.0,22001.0,0.0,0.0,Hyde Park Express
11207,U,2001-01-01,9,2001-01-01,29265.4,811006.0,15336.1,22621.7,Ashland
7689,W,2001-01-04,91,2001-01-01,8583.5,218421.0,2384.8,4415.0,Austin
4485,W,2001-01-03,X49,2001-01-01,5131.8,112899.0,0.0,0.0,Western Express
4979,W,2001-01-02,95W,2001-01-01,5162.6,144468.0,2556.7,4526.5,West 95th
11829,U,2001-01-01,49,2001-01-01,23732.1,666662.0,12432.2,20598.9,Western
3794,W,2001-01-03,95W,2001-01-01,5162.6,144468.0,2556.7,4526.5,West 95th
8995,U,2001-01-01,63,2001-01-01,21814.1,605727.0,11466.5,17120.8,63rd
21861,W,2001-01-02,151,2001-01-01,23604.8,634324.0,11694.7,14136.3,Sheridan
1233,W,2001-01-02,96,2001-01-01,1343.2,29550.0,0.0,0.0,Lunt
461,W,2001-01-03,120,2001-01-01,635.5,13982.0,0.0,0.0,Ogilvie/Wacker Express
5011,W,2001-01-04,27,2001-01-01,5629.5,147904.0,2423.6,2984.1,South Deering
1428,W,2001-01-03,88,2001-01-01,1721.8,43101.0,523.9,650.3,Higgins
2263,W,2001-01-04,108,2001-01-01,2928.1,64417.0,0.0,0.0,Halsted/95th
