year,month,route,ridership,city
2019,5,171,949,Chicago
2019,5,172,1783,Chicago
2019,5,18,3250,Chicago
2019,5,19,227,Chicago
2019,5,192,808,Chicago
2019,5,2,3653,Chicago
2019,5,20,14153,Chicago
2019,5,201,2279,Chicago
2019,5,206,742,Chicago
2019,5,21,7945,Chicago
2019,5,22,14922,Chicago
2019,5,24,2864,Chicago
2019,5,26,4212,Chicago
2019,5,28,5001,Chicago
2019,5,29,10344,Chicago
2019,5,3,14343,Chicago
2019,5,30,2731,Chicago
2019,5,31,401,Chicago
2019,5,34,4215,Chicago
2019,5,35,4135,Chicago
2019,5,36,11455,Chicago
2019,5,37,1485,Chicago
2019,5,39,1512,Chicago
2019,5,4,17612,Chicago
2019,5,43,1218,Chicago
2019,5,44,2695,Chicago
2019,5,47,8321,Chicago
2019,5,48,969,Chicago
2019,5,49,14844,Chicago
2019,5,49B,4643,Chicago
2019,5,5,422,Chicago
2019,5,50,7973,Chicago
2019,5,51,1186,Chicago
2019,5,52,10720,Chicago
2019,5,52A,3392,Chicago
2019,5,53,16338,Chicago
2019,5,53A,6127,Chicago
2019,5,54,8925,Chicago
2019,5,54A,745,Chicago
2019,5,54B,2482,Chicago
2019,5,55,8409,Chicago
2019,5,55A,333,Chicago
2019,5,55N,485,Chicago
2019,5,56,7134,Chicago
2019,5,57,1980,Chicago
2019,5,59,3133,Chicago
2019,5,6,8714,Chicago
2019,5,60,8790,Chicago
2019,5,62,8865,Chicago
2019,5,62H,835,Chicago
2019,5,63,13302,Chicago
2019,5,63W,1209,Chicago
2019,5,65,7304,Chicago
2019,5,66,18956,Chicago
2019,5,67,8523,Chicago
2019,5,68,835,Chicago
2019,5,7,4743,Chicago
2019,5,70,7756,Chicago
2019,5,71,8152,Chicago
2019,5,72,12535,Chicago
2019,5,73,4844,Chicago
2019,5,74,10343,Chicago
2019,5,75,6224,Chicago
2019,5,76,9380,Chicago
2019,5,77,17332,Chicago
2019,5,78,6320,Chicago
2019,5,79,21268,Chicago
2019,5,8,17258,Chicago
2019,5,80,9392,Chicago
2019,5,81,9788,Chicago
2019,5,81W,1334,Chicago
2019,5,82,14340,Chicago
2019,5,84,3210,Chicago
2019,5,85,7966,Chicago
2019,5,85A,710,Chicago
2019,5,86,2375,Chicago
2019,5,87,9972,Chicago
2019,5,88,1047,Chicago
2019,5,8A,2567,Chicago
2019,5,9,16112,Chicago
2019,5,90,3684,Chicago
2019,5,91,5356,Chicago
2019,5,92,5069,Chicago
2019,5,93,3269,Chicago
2019,5,94,7111,Chicago
2019,5,95,4970,Chicago
2019,5,96,784,Chicago
2019,5,97,2561,Chicago
2019,5,J14,9007,Chicago
2019,5,X49,6803,Chicago
2019,5,X9,8603,Chicago
2019,5,X98,10,Chicago
2019,6,1,1805,Chicago
2019,6,10,294,Chicago
2019,6,100,475,Chicago
2019,6,1001,178,Chicago
2019,6,103,1633,Chicago
2019,6,106,843,Chicago
2019,6,108,962,Chicago
2019,6,11,1193,Chicago
2019,6,111,2467,Chicago
2019,6,111A,216,Chicago
2019,6,112,1389,Chicago
2019,6,115,2369,Chicago
2019,6,119,3547,Chicago
2019,6,12,9907,Chicago
2019,6,120,765,Chicago
2019,6,121,1135,Chicago
2019,6,124,1319,Chicago
2019,6,125,1172,Chicago
2019,6,126,4022,Chicago
2019,6,130,475,Chicago
2019,6,134,2842,Chicago
2019,6,135,3396,Chicago
2019,6,136,1995,Chicago
2019,6,143,1784,Chicago
2019,6,146,12382,Chicago
2019,6,147,10434,Chicago
2019,6,148,2342,Chicago
2019,6,15,6252,Chicago
2019,6,151,14102,Chicago
2019,6,152,7924,Chicago
2019,6,155,5108,Chicago
2019,6,156,6855,Chicago
2019,6,157,4513,Chicago
2019,6,165,205,Chicago
2019,6,169,73,Chicago
2019,6,171,539,Chicago
2019,6,172,996,Chicago
2019,6,18,3052,Chicago
2019,6,19,103,Chicago
2019,6,192,859,Chicago
2019,6,2,3613,Chicago
2019,6,20,13302,Chicago
2019,6,201,1746,Chicago
2019,6,206,257,Chicago
2019,6,21,7870,Chicago
2019,6,22,14761,Chicago
2019,6,24,2671,Chicago
2019,6,26,4232,Chicago
2019,6,28,4856,Chicago
2019,6,29,10521,Chicago
2019,6,3,14016,Chicago
2019,6,30,2632,Chicago
2019,6,31,337,Chicago
2019,6,34,3966,Chicago
2019,6,35,3991,Chicago
2019,6,36,11328,Chicago
2019,6,37,1468,Chicago
2019,6,39,1472,Chicago
2019,6,4,16919,Chicago
2019,6,43,1146,Chicago
2019,6,44,2471,Chicago
2019,6,47,8062,Chicago
2019,6,48,799,Chicago
2019,6,49,14730,Chicago
2019,6,49B,4634,Chicago
2019,6,5,426,Chicago
2019,6,50,7689,Chicago
2019,6,51,1126,Chicago
2019,6,52,10102,Chicago
2019,6,52A,3278,Chicago
2019,6,53,15586,Chicago
2019,6,53A,5723,Chicago
2019,6,54,8801,Chicago
2019,6,54A,776,Chicago
2019,6,54B,2546,Chicago
2019,6,55,8260,Chicago
2019,6,55A,311,Chicago
2019,6,55N,454,Chicago
2019,6,56,6896,Chicago
2019,6,57,1845,Chicago
2019,6,59,2873,Chicago
2019,6,6,9109,Chicago
2019,6,60,8197,Chicago
2019,6,62,8598,Chicago
2019,6,62H,841,Chicago
2019,6,63,12784,Chicago
2019,6,63W,1200,Chicago
2019,6,65,7359,Chicago
2019,6,66,18682,Chicago
2019,6,67,8179,Chicago
2019,6,68,719,Chicago
2019,6,7,4145,Chicago
2019,6,70,7318,Chicago
2019,6,71,7624,Chicago
2019,6,72,12654,Chicago
2019,6,73,4528,Chicago
2019,6,74,10024,Chicago
2019,6,75,5934,Chicago
2019,6,76,9460,Chicago
2019,6,77,16877,Chicago
2019,6,78,6330,Chicago
2019,6,79,20907,Chicago
2019,6,8,15960,Chicago
2019,6,80,9406,Chicago
2019,6,81,9779,Chicago
2019,6,81W,1272,Chicago
2019,6,82,13558,Chicago
2019,6,84,3015,Chicago
2019,6,85,7751,Chicago
2019,6,85A,671,Chicago
2019,6,86,2112,Chicago
2019,6,87,9655,Chicago
2019,6,88,952,Chicago
2019,6,8A,2360,Chicago
2019,6,9,16044,Chicago
2019,6,90,3662,Chicago
2019,6,91,5058,Chicago
2019,6,92,4877,Chicago
2019,6,93,2965,Chicago
2019,6,94,6777,Chicago
2019,6,95,4678,Chicago
2019,6,96,781,Chicago
2019,6,97,2481,Chicago
2019,6,J14,9112,Chicago
2019,6,X49,6159,Chicago
2019,6,X9,7898,Chicago
2019,6,X98,6,Chicago
2019,7,1,1649,Chicago
2019,7,10,569,Chicago
2019,7,100,449,Chicago
2019,7,1001,2613,Chicago
2019,7,103,1622,Chicago
2019,7,106,800,Chicago
2019,7,108,874,Chicago
2019,7,11,1212,Chicago
2019,7,111,2365,Chicago
2019,7,111A,209,Chicago
2019,7,112,1311,Chicago
2019,7,115,2239,Chicago
2019,7,119,3416,Chicago
2019,7,12,9624,Chicago
2019,7,120,708,Chicago
2019,7,121,1106,Chicago
2019,7,124,1698,Chicago
2019,7,125,1137,Chicago
2019,7,126,3951,Chicago
2019,7,130,626,Chicago
2019,7,134,2721,Chicago
2019,7,135,3263,Chicago
2019,7,136,1921,Chicago
2019,7,143,1577,Chicago
2019,7,146,11971,Chicago
2019,7,147,10628,Chicago
2019,7,148,2275,Chicago
2019,7,15,6081,Chicago
2019,7,151,14465,Chicago
2019,7,152,6518,Chicago
2019,7,155,5338,Chicago
2019,7,156,6513,Chicago
2019,7,157,4453,Chicago
2019,7,165,156,Chicago
2019,7,169,70,Chicago
2019,7,171,260,Chicago
2019,7,172,552,Chicago
2019,7,18,2989,Chicago
2019,7,19,79,Chicago
2019,7,192,886,Chicago
2019,7,2,3388,Chicago
2019,7,20,12907,Chicago
2019,7,201,1485,Chicago
2019,7,206,161,Chicago
2019,7,21,7582,Chicago
2019,7,22,14825,Chicago
2019,7,24,2514,Chicago
2019,7,26,4136,Chicago
2019,7,28,4715,Chicago
2019,7,29,10604,Chicago
2019,7,3,13929,Chicago
2019,7,30,2371,Chicago
2019,7,31,339,Chicago
2019,7,34,3972,Chicago
2019,7,35,3904,Chicago
2019,7,36,11166,Chicago
2019,7,37,1364,Chicago
2019,7,39,1477,Chicago
2019,7,4,16674,Chicago
2019,7,43,1122,Chicago
2019,7,44,2365,Chicago
2019,7,47,7878,Chicago
2019,7,48,644,Chicago
2019,7,49,14259,Chicago
2019,7,49B,4605,Chicago
2019,7,5,451,Chicago
2019,7,50,7302,Chicago
2019,7,51,1012,Chicago
2019,7,52,9450,Chicago
2019,7,52A,3151,Chicago
2019,7,53,14880,Chicago
2019,7,53A,5303,Chicago
2019,7,54,8622,Chicago
2019,7,54A,742,Chicago
2019,7,54B,2474,Chicago
2019,7,55,8060,Chicago
2019,7,55A,281,Chicago
2019,7,55N,426,Chicago
2019,7,56,6775,Chicago
2019,7,57,1771,Chicago
2019,7,59,2742,Chicago
2019,7,6,8498,Chicago
2019,7,60,7925,Chicago
2019,7,62,8263,Chicago
2019,7,62H,812,Chicago
2019,7,63,12441,Chicago
2019,7,63W,1216,Chicago
2019,7,65,7326,Chicago
2019,7,66,18392,Chicago
2019,7,67,7749,Chicago
2019,7,68,621,Chicago
2019,7,7,3766,Chicago
2019,7,70,6894,Chicago
2019,7,71,7491,Chicago
2019,7,72,12747,Chicago
2019,7,73,4211,Chicago
2019,7,74,9615,Chicago
2019,7,75,5697,Chicago
